Zipcode,Year_Coll,num_samples,Borough_broad,neighb_code,Neighb_Name,epa_pb_lim,pct_1d_pb_over_epa,max_1d_pb,min_1d_pb,avg_1d_pb,med_1d_pb,range_1d_pb,med_1d_pb_diff_epa,avg_1d_pb_diff_epa,pct_2d_pb_over_epa,max_2d_pb,min_2d_pb,avg_2d_pb,med_2d_pb,range_2d_pb,med_2d_pb_diff_epa,avg_2d_pb_diff_epa
10462,2020,18,Bronx,104,Pelham - Throgs Neck,0.015,0,0.008,0.007,0.007333333333333337,0.007,0.001,-0.008,-0.007666666666666663,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10464,2014,1,Bronx,104,Pelham - Throgs Neck,0.015,100,0.053,0.053,0.053,0.053,0.0,0.038,0.038,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10464,2015,2,Bronx,104,Pelham - Throgs Neck,0.015,100,0.099,0.044,0.07150000000000001,0.07150000000000001,0.05500000000000001,0.05650000000000001,0.05650000000000001,0,0.002,0.000,0.001,0.001,0.002,-0.013999999999999999,-0.013999999999999999
10464,2016,4,Bronx,104,Pelham - Throgs Neck,0.015,100,0.233,0.020,0.10875000000000001,0.091,0.21300000000000002,0.076,0.09375000000000001,0,0.008,0.000,0.003,0.002,0.008,-0.013,-0.012
10464,2017,5,Bronx,104,Pelham - Throgs Neck,0.015,60,0.233,0.013,0.0864,0.017,0.22,0.0020000000000000018,0.0714,0,0.008,0.000,0.0026000000000000003,0.0,0.008,-0.015,-0.0124
10464,2018,2,Bronx,104,Pelham - Throgs Neck,0.015,0,0.012,0.010,0.011,0.011,0.002,-0.004,-0.004,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10464,2019,5,Bronx,104,Pelham - Throgs Neck,0.015,40,0.172,0.008,0.0516,0.01,0.16399999999999998,-0.004999999999999999,0.0366,0,0.006,0.000,0.0014,0.0,0.006,-0.015,-0.0136
10464,2020,5,Bronx,104,Pelham - Throgs Neck,0.015,60,0.675,0.007,0.2734,0.193,0.668,0.178,0.25839999999999996,20,0.018,0.000,0.0082,0.008,0.018,-0.006999999999999999,-0.006799999999999999
10465,2014,9,Bronx,104,Pelham - Throgs Neck,0.015,100,3.641,0.048,0.5224444444444446,0.147,3.593,0.132,0.5074444444444446,11,0.030,0.000,0.006222222222222222,0.004,0.03,-0.011,-0.008777777777777777
10465,2015,2,Bronx,104,Pelham - Throgs Neck,0.015,100,0.144,0.047,0.0955,0.0955,0.09699999999999999,0.0805,0.0805,0,0.004,0.000,0.002,0.002,0.004,-0.013,-0.013
10465,2016,13,Bronx,104,Pelham - Throgs Neck,0.015,100,0.476,0.019,0.08115384615384616,0.032,0.45699999999999996,0.017,0.06615384615384616,0,0.013,0.000,0.0016923076923076922,0.0,0.013,-0.015,-0.013307692307692307
10465,2017,9,Bronx,104,Pelham - Throgs Neck,0.015,77,0.247,0.014,0.05166666666666667,0.017,0.23299999999999998,0.0020000000000000018,0.036666666666666674,0,0.009,0.000,0.0013333333333333333,0.0,0.009,-0.015,-0.013666666666666666
10465,2018,7,Bronx,104,Pelham - Throgs Neck,0.015,14,0.061,0.010,0.018285714285714284,0.011,0.051,-0.004,0.003285714285714284,0,0.001,0.000,0.00014285714285714287,0.0,0.001,-0.015,-0.014857142857142857
10465,2019,4,Bronx,104,Pelham - Throgs Neck,0.015,25,0.240,0.008,0.0665,0.009,0.23199999999999998,-0.006,0.051500000000000004,0,0.009,0.000,0.00225,0.0,0.009,-0.015,-0.01275
10465,2020,8,Bronx,104,Pelham - Throgs Neck,0.015,37,0.486,0.007,0.08399999999999999,0.008,0.479,-0.006999999999999999,0.06899999999999999,0,0.015,0.000,0.0023750000000000004,0.0,0.015,-0.015,-0.012624999999999999
10472,2015,1,Bronx,104,Pelham - Throgs Neck,0.015,100,0.039,0.039,0.039,0.039,0.0,0.024,0.024,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10472,2016,8,Bronx,104,Pelham - Throgs Neck,0.015,100,0.066,0.020,0.034375,0.033,0.046,0.018000000000000002,0.019375000000000003,0,0.001,0.000,0.000125,0.0,0.001,-0.015,-0.014875
10472,2017,8,Bronx,104,Pelham - Throgs Neck,0.015,0,0.015,0.013,0.013999999999999999,0.014,0.002,-0.0009999999999999992,-0.0010000000000000009,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10472,2018,4,Bronx,104,Pelham - Throgs Neck,0.015,25,0.063,0.010,0.023499999999999997,0.010499999999999999,0.053,-0.0045000000000000005,0.008499999999999997,0,0.001,0.000,0.00025,0.0,0.001,-0.015,-0.01475
10472,2019,19,Bronx,104,Pelham - Throgs Neck,0.015,21,0.129,0.008,0.027315789473684217,0.008,0.121,-0.006999999999999999,0.012315789473684217,0,0.004,0.000,0.0005789473684210526,0.0,0.004,-0.015,-0.014421052631578947
10472,2020,9,Bronx,104,Pelham - Throgs Neck,0.015,0,0.008,0.007,0.007222222222222223,0.007,0.001,-0.008,-0.007777777777777777,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10473,2015,1,Bronx,104,Pelham - Throgs Neck,0.015,100,0.144,0.144,0.144,0.144,0.0,0.129,0.129,0,0.004,0.004,0.004,0.004,0.0,-0.011,-0.011
10473,2016,8,Bronx,104,Pelham - Throgs Neck,0.015,100,0.190,0.020,0.0685,0.0285,0.17,0.013500000000000002,0.053500000000000006,0,0.007,0.000,0.0016250000000000001,0.0,0.007,-0.015,-0.013375
10473,2017,7,Bronx,104,Pelham - Throgs Neck,0.015,57,0.173,0.013,0.05742857142857143,0.016,0.15999999999999998,0.0010000000000000009,0.042428571428571434,0,0.006,0.000,0.0015714285714285713,0.0,0.006,-0.015,-0.013428571428571429
10473,2018,9,Bronx,104,Pelham - Throgs Neck,0.015,0,0.012,0.010,0.010666666666666665,0.01,0.002,-0.004999999999999999,-0.004333333333333335,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10473,2019,5,Bronx,104,Pelham - Throgs Neck,0.015,20,0.080,0.008,0.022799999999999997,0.009,0.07200000000000001,-0.006,0.007799999999999998,0,0.002,0.000,0.0004,0.0,0.002,-0.015,-0.0146
10473,2020,7,Bronx,104,Pelham - Throgs Neck,0.015,28,0.124,0.007,0.037142857142857144,0.007,0.11699999999999999,-0.008,0.022142857142857145,0,0.004,0.000,0.001,0.0,0.004,-0.015,-0.013999999999999999
10451,2014,1,Bronx,105/106/107,The South Bronx,0.015,100,0.050,0.050,0.05,0.05,0.0,0.035,0.035,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10451,2016,9,Bronx,105/106/107,The South Bronx,0.015,100,0.117,0.023,0.038000000000000006,0.028,0.094,0.013000000000000001,0.023000000000000007,0,0.003,0.000,0.0003333333333333333,0.0,0.003,-0.015,-0.014666666666666666
10451,2017,10,Bronx,105/106/107,The South Bronx,0.015,40,0.018,0.013,0.015300000000000003,0.015,0.004999999999999999,0.0,0.0003000000000000034,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10451,2018,8,Bronx,105/106/107,The South Bronx,0.015,0,0.013,0.010,0.011624999999999998,0.012,0.002999999999999999,-0.002999999999999999,-0.0033750000000000013,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
